read_id	ssu_model	ssu_strand	ssu_start	ssu_end	ssu_score	ssu_evalue	s58s_model	s58s_strand	s58s_start	s58s_end	s58s_score	s58s_evalue	s58e_model	s58e_strand	s58e_start	s58e_end	s58e_score	s58e_evalue	lsu_model	lsu_strand	lsu_start	lsu_end	lsu_score	lsu_evalue	full_start	full_end	its1_start	its1_end	its2_start	its2_end	selected_region	selected_start	selected_end
SRR21494940.332	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	427	471	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	540	584	39.4	0.00000000036	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	819	863	60	0.00000000000000013	31	818	31	426	585	818	full	31	818
SRR21494940.2	1_SSU_Fungi_Ge_1_SSU_end_zero_long	+	63	91	27.6	0.0000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	496	540	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	609	653	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	883	927	60	0.00000000000000013	92	882	92	495	654	882	full	92	882
SRR21494940.203	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	435	480	52	0.000000000000043	3_End_Fungi_Ge_58S_end_fourteenb_long	+	549	592	46.7	0.0000000000019	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	824	865	51.5	0.000000000000057	31	823	31	434	593	823	full	31	823
SRR21494940.576	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_zero_long	-	430	474	55.8	0.000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	541	583	27.8	0.0000015	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	808	852	60	0.00000000000000013	32	807	32	429	584	807	full	32	807
SRR21494940.785	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_onee_long	-	432	476	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	545	589	36.1	0.0000000037	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	813	857	60	0.00000000000000013	32	812	32	431	590	812	full	32	812
SRR21494940.139	1_SSU_Fungi_Ge_1_SSU_end_ten_long	-	1	31	37.4	0.0000000014	2_5.8_Fungi_Ge_58S_start_onee_long	-	429	473	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	-	539	582	48.9	0.00000000000036	4_LSU_Fungi_Ge_4_LSU_start_zerod_long	-	817	861	52.7	0.000000000000024	32	816	32	428	583	816	full	32	816
SRR21494940.961	1_SSU_Fungi_Tu_1_SSU_end_five_long	-	1	31	38.8	0.00000000052	2_5.8_Fungi_Ge_58S_start_zero_long	-	423	466	50.6	0.00000000000012	3_End_Fungi_Ge_58S_end_fourteenb_long	-	535	577	47.6	0.00000000000096	4_LSU_Fungi_Ge_4_LSU_start_eight_long	-	807	851	60	0.00000000000000013	32	806	32	422	578	806	full	32	806
SRR21494940.830	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_zero_long	+	432	474	48.1	0.00000000000076	3_End_Fungi_Ge_58S_end_fourteenb_long	+	540	584	40.8	0.00000000013	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	814	857	52.3	0.000000000000033	31	813	31	431	585	813	full	31	813
SRR21494940.337	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	435	479	58.9	0.0000000000000003	3_End_Fungi_Ge_58S_end_fourteenb_long	+	548	592	55.6	0.000000000000003	4_LSU_Fungi_Ge_4_LSU_start_eight_long	+	821	861	46.7	0.0000000000017	31	820	31	434	593	820	full	31	820
SRR21494940.327	1_SSU_Fungi_Ge_1_SSU_end_onea_long	+	1	30	37.1	0.0000000018	2_5.8_Fungi_Ge_58S_start_onee_long	+	418	471	59.1	0.00000000000000027	3_End_Fungi_Ge_58S_end_fourteenb_long	+	540	582	39.2	0.00000000041	4_LSU_Fungi_Ge_4_LSU_start_thirteen_long	+	813	852	40.5	0.00000000012	31	812	31	417	583	812	full	31	812
